                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.23,                 1.3105,                 1.4581,                0.72896,                0.67295,                0.70678,                 0.5357,                 1.3229,                 1.3443,                 1.4755,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.2251,                 1.2847,                 1.4454,                0.69862,                0.68173,                0.70274,                0.52029,                 1.3625,                 1.3723,                 1.5019,              0.0003268,              0.0003268,              0.0003268
                     37,                  1.215,                 1.2539,                 1.4456,                0.73531,                0.68291,                0.71394,                0.53059,                 1.3619,                  1.345,                 1.4938,               0.000307,               0.000307,               0.000307
                     38,                 1.2094,                 1.2485,                 1.4401,                0.73683,                0.66011,                0.70683,                0.52382,                  1.391,                 1.3399,                 1.5184,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.1906,                 1.2205,                 1.4256,                0.70755,                0.69732,                0.71216,                0.53472,                 1.3281,                 1.3304,                 1.4811,              0.0002674,              0.0002674,              0.0002674
                     40,                  1.193,                 1.2316,                 1.4284,                0.70972,                0.68874,                0.72315,                0.54257,                 1.3479,                 1.3045,                 1.4907,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.1106,                0.99245,                 1.3506,                0.73602,                0.67746,                0.71247,                0.53703,                   1.33,                  1.341,                 1.4878,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.0675,                0.91375,                 1.3164,                0.75239,                0.67495,                0.71523,                0.53782,                 1.3343,                 1.3191,                 1.4976,               0.000208,               0.000208,               0.000208
                     43,                 1.0555,                0.88316,                 1.3081,                0.76088,                0.68152,                0.72354,                0.54511,                 1.3078,                 1.2874,                 1.4738,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.0348,                0.86387,                 1.2928,                0.70248,                0.69385,                0.71108,                0.54028,                 1.3108,                 1.2941,                  1.479,              0.0001684,              0.0001684,              0.0001684
                     45,                  1.034,                0.83542,                 1.2894,                0.75734,                0.67611,                0.72444,                0.55718,                 1.3072,                 1.3106,                 1.4739,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.0183,                0.82025,                 1.2779,                0.78982,                0.66747,                0.71882,                0.54671,                 1.3272,                  1.313,                 1.4832,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.0051,                0.79673,                  1.269,                0.78375,                 0.6796,                 0.7282,                0.55785,                 1.3061,                 1.3006,                 1.4753,               0.000109,               0.000109,               0.000109
                     48,                0.97643,                  0.762,                 1.2456,                0.78983,                0.67078,                0.72482,                0.55801,                 1.2954,                 1.3076,                 1.4692,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.98569,                0.76441,                 1.2562,                0.76289,                0.69352,                0.72803,                0.56014,                 1.3104,                 1.2934,                 1.4784,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                  0.969,                0.73532,                 1.2358,                0.77725,                0.68227,                 0.7249,                0.55613,                 1.3036,                 1.2942,                 1.4802,               4.96e-05,               4.96e-05,               4.96e-05
