                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2087,                  2.342,                 1.5477,                 1.5461,                 0.6929,                0.63007,                0.67837,                0.48935,                0.68263,                0.63026,                0.66791,                0.48728,                 1.3584,                 2.2616,                 1.5337,                 1.7055,             0.00059775,             0.00059775,             0.00059775
                     25,                 1.1908,                 2.2788,                 1.5132,                 1.5279,                0.68499,                0.65255,                0.67668,                0.49124,                0.67708,                0.64972,                0.66757,                0.48586,                 1.3422,                 2.2287,                 1.5191,                 1.6881,             0.00056704,             0.00056704,             0.00056704
                     26,                 1.1766,                 2.2625,                 1.4647,                  1.517,                0.66649,                 0.6854,                0.69701,                0.50323,                 0.6763,                0.67238,                0.69062,                0.50433,                 1.3727,                 2.2067,                 1.5073,                 1.7061,             0.00053608,             0.00053608,             0.00053608
                     27,                 1.1648,                 2.2468,                 1.4535,                 1.5064,                0.67448,                0.65257,                0.68302,                0.49494,                0.67196,                0.63859,                0.67352,                0.49136,                 1.3564,                  2.206,                 1.5439,                  1.687,               0.000505,               0.000505,               0.000505
                     28,                 1.1364,                 2.1739,                 1.3946,                 1.4703,                 0.7044,                0.67312,                0.70175,                0.51439,                0.69587,                0.68119,                0.69757,                0.50803,                 1.3289,                 2.1622,                 1.4602,                 1.6454,             0.00047392,             0.00047392,             0.00047392
                     29,                 1.1455,                 2.1891,                 1.3936,                 1.4811,                0.67171,                0.67907,                0.70184,                0.51847,                0.67729,                0.67166,                0.69428,                 0.5098,                 1.3179,                 2.2025,                 1.4668,                 1.6524,             0.00044296,             0.00044296,             0.00044296
                     30,                  1.125,                 2.1469,                 1.3566,                 1.4636,                0.67596,                0.69262,                0.70732,                0.52525,                0.69365,                 0.6711,                0.69794,                0.51542,                  1.302,                 2.1552,                  1.419,                 1.6455,             0.00041225,             0.00041225,             0.00041225
                     31,                 1.1108,                 2.1354,                  1.328,                 1.4573,                0.66777,                0.69437,                0.70704,                0.52312,                0.66036,                0.68707,                0.69588,                0.51238,                 1.3223,                 2.1523,                  1.408,                 1.6488,              0.0003819,              0.0003819,              0.0003819
                     32,                  1.099,                 2.1323,                 1.3193,                  1.452,                0.69994,                0.68255,                0.71707,                0.53671,                0.72044,                0.66608,                 0.7116,                0.52616,                 1.2907,                 2.1474,                 1.4053,                 1.6399,             0.00035204,             0.00035204,             0.00035204
                     33,                 1.0875,                 2.0971,                 1.2946,                   1.44,                0.74525,                0.67153,                 0.7205,                0.53294,                0.73302,                0.67612,                0.71276,                 0.5265,                 1.3064,                 2.1053,                 1.3785,                 1.6503,             0.00032278,             0.00032278,             0.00032278
                     34,                 1.0661,                  2.052,                 1.2435,                 1.4123,                0.72738,                 0.6973,                0.72476,                0.52969,                0.71476,                0.69337,                0.71164,                0.52493,                 1.3086,                 2.1297,                 1.4068,                 1.6573,             0.00029424,             0.00029424,             0.00029424
                     35,                 1.0503,                 2.0439,                 1.2318,                 1.4088,                0.71583,                0.70185,                0.72889,                0.54692,                0.71902,                0.69443,                0.72784,                 0.5341,                  1.286,                  2.104,                  1.362,                 1.6255,             0.00026653,             0.00026653,             0.00026653
                     36,                 1.0923,                 1.8016,                 1.1483,                 1.4694,                0.69126,                0.70913,                0.72428,                0.54504,                0.70504,                 0.6858,                0.71409,                0.53643,                 1.2877,                 2.1277,                  1.367,                 1.6476,             0.00023977,             0.00023977,             0.00023977
                     37,                 1.0574,                 1.7448,                 1.0616,                 1.4454,                0.71891,                0.71133,                0.72773,                0.54991,                0.72721,                0.69686,                0.71528,                 0.5407,                 1.2747,                 2.0895,                 1.3657,                 1.6249,             0.00021405,             0.00021405,             0.00021405
                     38,                 1.0382,                 1.6997,                 1.0248,                  1.421,                0.73747,                0.70678,                0.73567,                0.55425,                0.74055,                0.70185,                0.72498,                0.54398,                 1.2831,                 2.0936,                  1.351,                 1.6455,             0.00018948,             0.00018948,             0.00018948
                     39,                 1.0193,                  1.658,                0.98818,                 1.4051,                0.76026,                 0.7078,                0.74482,                0.57086,                 0.7517,                0.70883,                0.73383,                0.55281,                 1.2621,                 2.0847,                 1.3209,                 1.6081,             0.00016615,             0.00016615,             0.00016615
                     40,                 1.0059,                 1.6425,                0.95492,                 1.3825,                0.74494,                0.70154,                0.74071,                0.57114,                0.72527,                0.71568,                0.73282,                 0.5511,                 1.2568,                 2.1158,                 1.3206,                 1.6084,             0.00014416,             0.00014416,             0.00014416
                     41,                0.98557,                 1.6124,                0.94176,                 1.3688,                0.74744,                0.71341,                0.74863,                0.57244,                0.74638,                0.70737,                0.73255,                0.55245,                 1.2559,                 2.1036,                 1.3076,                  1.611,              0.0001236,              0.0001236,              0.0001236
                     42,                0.96951,                 1.5999,                0.91407,                 1.3538,                0.75703,                0.70347,                 0.7471,                 0.5699,                0.75721,                0.70649,                0.73742,                0.55491,                 1.2634,                 2.0825,                 1.2979,                 1.6098,             0.00010454,             0.00010454,             0.00010454
                     43,                0.96318,                  1.582,                0.89661,                  1.346,                0.74219,                0.72234,                0.75273,                0.57504,                0.73645,                0.71743,                0.74052,                0.55736,                 1.2632,                    2.1,                 1.2943,                 1.6144,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     44,                0.96157,                 1.5561,                0.88923,                 1.3431,                0.77348,                0.70594,                0.75466,                0.58488,                0.76545,                0.70213,                0.74355,                0.56044,                 1.2465,                 2.0986,                 1.2833,                  1.597,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     45,                0.93327,                 1.5414,                0.85353,                 1.3245,                0.77661,                0.70333,                0.75669,                0.58234,                0.76707,                0.69927,                0.73956,                0.55972,                 1.2547,                 2.0936,                 1.2754,                 1.6096,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     46,                0.92874,                 1.5174,                 0.8448,                 1.3166,                0.78096,                0.69266,                0.75083,                0.58203,                0.77641,                0.68743,                0.74133,                0.56057,                 1.2502,                 2.1008,                 1.2924,                 1.6065,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     47,                0.91375,                 1.5156,                0.81886,                 1.3108,                0.77381,                0.70784,                0.75693,                0.58311,                0.77217,                0.69574,                0.74299,                0.56158,                 1.2604,                 2.0972,                   1.28,                 1.6186,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     48,                0.90841,                 1.4866,                0.80069,                 1.2955,                0.77539,                0.70857,                0.75634,                0.58511,                0.75451,                0.71045,                0.74149,                0.56154,                 1.2437,                 2.1023,                 1.2788,                 1.6021,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     49,                0.90828,                 1.4962,                0.80654,                 1.2935,                0.76487,                0.71815,                0.75587,                 0.5826,                0.75277,                0.71182,                0.73977,                0.56123,                  1.251,                 2.1127,                 1.2792,                 1.6105,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     50,                0.90545,                 1.5002,                0.80077,                 1.2955,                0.76162,                0.72513,                0.75763,                0.58412,                0.75275,                0.71858,                0.74381,                0.56236,                 1.2536,                 2.1089,                 1.2778,                 1.6117,             1.3903e-05,             1.3903e-05,             1.3903e-05
